no,chapter,speaker,firstlistener,addressees,content,time,place
1,1,Father,Nick,['Nick'],"Whenever you feel like criticizing anyone,",past,Nick
2,1,Father,Nick,['Nick'],just remember that all the people in this world haven’t had the advantages that you’ve had.,past,Nick
3,1,AuntsandUncles,Nick,['Nick'],"Why—ye-es,",past,Nick
4,1,man,Nick,['Nick'],How do you get to West Egg village?,present,road
5,1,Tom,Nick,['Nick'],"Now, don’t think my opinion on these matters is final,",present,road
6,1,Tom,Nick,['Nick'],just because I’m stronger and more of a man than you are.,present,road
7,1,Tom,Nick,['Nick'],"I’ve got a nice place here,",present,thouse
8,1,Tom,Nick,['Nick'],"It belonged to Demaine, the oil man.",present,thouse
9,1,Tom,Nick,['Nick'],We’ll go inside.,present,thouse
10,1,Daisy,Nick,['Nick'],I’m p-paralysed with happiness.,present,thouse
11,1,Daisy,Nick,['Nick'],Do they miss me?,present,thouse
12,1,Nick,Daisy,['Daisy'],"The whole town is desolate. All the cars have the left rear wheel painted black as a mourning wreath, and there’s a persistent wail all night along the north shore.",present,thouse
13,1,Daisy,Tom,"['Nick', 'Tom']","How gorgeous! Let’s go back, Tom. Tomorrow!",present,thouse
14,1,Daisy,Nick,"['Nick', 'Tom']",You ought to see the baby.,present,thouse
15,1,Nick,Daisy,"['Daisy', 'Tom']",I’d like to.,present,thouse
16,1,Daisy,Nick,"['Nick', 'Tom']",She’s asleep. She’s three years old. Haven’t you ever seen her?,present,thouse
17,1,Nick,Daisy,"['Daisy', 'Tom']",Never.,present,thouse
18,1,Daisy,Nick,"['Nick', 'Tom']","Well, you ought to see her. She’s—",present,thouse
19,1,Tom,Nick,['Nick'],"What you doing, Nick?",present,thouse
20,1,Nick,Tom,['Tom'],I’m a bond man.,present,thouse
21,1,Tom,Nick,['Nick'],Who with?,present,thouse
22,1,Tom,Nick,['Nick'],"Never heard of them,",present,thouse
23,1,Nick,Tom,['Tom'],"You will,",present,thouse
24,1,Nick,Tom,['Tom'],You will if you stay in the East.,present,thouse
25,1,Tom,Nick,['Nick'],"Oh, I’ll stay in the East, don’t you worry,",present,thouse
26,1,Tom,Nick,['Nick'],I’d be a God damned fool to live anywhere else.,present,thouse
27,1,Jordan,Tom,"['Tom', 'Nick', 'Daisy']",Absolutely!,present,thouse
28,1,Jordan,Tom,"['Tom', 'Nick', 'Daisy']","I’m stiff,",present,thouse
29,1,Jordan,Tom,"['Tom', 'Nick', 'Daisy']",I’ve been lying on that sofa for as long as I can remember.,present,thouse
30,1,Daisy,Jordan,"['Jordan', 'Tom', 'Nick']","Don’t look at me,",present,thouse
31,1,Daisy,Jordan,"['Jordan', 'Tom', 'Nick']",I’ve been trying to get you to New York all afternoon.,present,thouse
